,Data_ID,User_ID,Gender,Age,MBTI,Q_number,Answer
0,1,1,1,30,INFP,1,<아니다> 어릴 때 왕따 당한 경험이 있고 외부 활동을 좋아하지 않기 때문에 소수의 친구와만 지냅니다.
1,2,1,1,30,INFP,2,<중립>  다양한 관심사를 탐구하진 않지만 대체로 자연과 역사에 관련된 것을 좋아하며 요즘은 새에 관심이 조금 있습니다. 흥미가 있어도 관심도가 오래가진 않아 중립으로 하였습니다.
2,3,1,1,30,INFP,3,<그렇다> 감정 이입이 잘되어 코미디 영화에서 사람이 울고 있을 때도 울기 때문에 영화관도 잘 가지 않습니다. 머리로는 안 울고 싶은데 이미 울고 있어서 당황스러울 때가 많습니다.
3,4,1,1,30,INFP,4,<중립> 대비책을 세우긴 하는데 세우다가 마는 편입니다. 일의 변수가 생길 수 있고 변수가 생길 때 세워둔 대책이 없으면 머릿속이 하얘져서 대처하기 힘들기 때문입니다. 하지만 너무 많은 변수를 생각하다가 귀찮아져서 대비책을 세우는 것을 중간에 그만둡니다.
4,5,1,1,30,INFP,5,<아니다> 평정심을 유지 못 하는 편입니다. 머릿속은 백지화가 된 상태로 말도 제대로 못합니다. 면접을 볼 때 화상 면접이었는데도 스스로 더한 압박감을 느껴 연습할 때 보다 훨씬 말하지 못했습니다.
5,6,1,1,30,INFP,6,<그렇다> 저는 파티나 행사에 간 적이 거의 없으며 간다고 가정을 하면 알고 있는 사람과 대화하는 편입니다. 이유는 모르는 사람에게 자신을 소개하는 것이 부담스럽습니다.
6,7,1,1,30,INFP,7,<아니다> 저는 여러 가지 프로젝트를 문어발식으로 조금씩 시작하여 진행이 잘 되는 프로젝트를 먼저 끝내는 방식으로 일을 합니다. 학교 다닐 때 과제가 여러 개가 있으면 하나를 하다가 집중력이 떨어지거나 막히는 일이 있을 때 다른 과제로 옮겨가는 식으로 하였습니다.
7,8,1,1,30,INFP,8,<그렇다> 매우 감상적인 편입니다. 책이나 드라마 영화 등 매체를 볼 때 무언가 다치거나 아프면 굉장히 슬퍼하고 우울해합니다.
8,9,1,1,30,INFP,9,"<중립> 계획 세우는 일을 좋아하진 않지만, 여행 계획은 시간 단위로 세세하게 세웁니다. 많이 나가지 않다 보니 그 여행지에 어떤 것이 있는지 놓치고 싶지 않고 더 알차게 보내고 싶어서입니다. 다이어리는 사지만 쓰다가 안 쓰는 것을 반복하는 편입니다."
9,10,1,1,30,INFP,10,<중립> 가끔 집안 가게에서 매대를 보는데 계산 실수를 할 때가 있습니다. 그럴 때면 그럴 수도 있지 되뇌면서도 그 실수한 것이 머릿속에서 떠나질 않습니다.
10,11,1,1,30,INFP,11,<아니다> 어렵습니다. 친해지고 싶은 사람이 있으면 말을 걸때 어떻게 걸지 시뮬레이션을 하고 말을 했었습니다.
11,12,1,1,30,INFP,12,<아니다> 다양한 해석에 관해 토론하는 것을 보는 것은 좋아하지만 제가 직접 토론하는 것은 귀찮기도 하고 제가 말을 잘 하지 못하기 때문에 싫어합니다.
12,13,1,1,30,INFP,13,<중립> 저는 감정을 따를 때도 있고 이성을 따를 때도 있습니다. 주변의 평가도 비슷하고요.
13,14,1,1,30,INFP,14,<중립> 계획을 세우면 그 계획에서 벗어나는 것에 스트레스를 받기 때문에 즉흥적으로 하는 것을 좀 더 좋아합니다. 하지만 세세하진 않아도 대략적인 계획을 세우고 나갈 때가 많습니다.
14,15,1,1,30,INFP,15,<중립> 어떤 사람으로 보일지 걱정하지만 사람들은 생각보다 다른 사람에게 관심 없다고 스스로를 세뇌하는 편입니다. 제가 다른 사람에게 관심이 많이 없기 때문입니다.
15,16,1,1,30,INFP,16,<아니다> 단체 활동에 참여해서는 즐겁지만 나갔다 오면 힘들기 때문에 잘 참여하지 않습니다. 요즘은 집 밖을 잘나가지 않아 단체 활동에 참여한 적이 없습니다.
16,17,1,1,30,INFP,17,<아니다> 결말이 여러 가지로 해석되는 열린 결말을 좋아하지 않습니다. 뭔가 끝나지 않은 것 같고 찝찝합니다. 때문에 닫힌 결말을 좋아하며 드라마의 해피니스나 웹툰 사내 맞선 좋아했습니다.
17,18,1,1,30,INFP,18,<중립> 둘 다 똑같이 좋을 것 같습니다. 남의 성공을 돕는 것도 굉장히 뿌듯하겠지만 제가 성공하는 것도 중요하기 때문입니다.
18,19,1,1,30,INFP,19,<그렇다> 관심사가 여러 개 있었지만 깊게 관심이 있진 않아 오히려 무엇에 집중해야 하는지 모를 때가 있었습니다. 최근 가족 여행을 계획했는데 가고 싶은 곳이 많아 갈 곳을 정하고도 고민 중입니다.
19,20,1,1,30,INFP,20,<아니다> 한 번쯤은 생각하지만 많이 걱정하진 않습니다. 걱정을 너무하면 일이 진행되지 않기 때문입니다.
20,21,1,1,30,INFP,21,<중립> 굉장히 하고 싶으면서도 하고 싶지 않습니다. 지도자 역할을 맡으면 자신이 인정받는 것 같아서 좋지만 그만큼의 책임이 따르기 때문입니다.
21,22,1,1,30,INFP,22,<아니다> 아름다운 것을 좋아하고 그림 그리는 것 보는 것도 조각하는 것도 좋아합니다. 초중고 때 미술 과목에서 그리거나 조각하고 만드는 것을 좋아했습니다.
22,23,1,1,30,INFP,23,"<중립> 감정 때문에 싸움이 나기도 하지만 감정 때문에 측은지심으로 남을 돕기도 하며, 이성 때문에 손해를 보지 않기 위해 남에게 손해를 끼치지만 이성 때문에 자신의 득을 위해 좋은 일을 하기도 합니다. 때문에 감정과 이성 모두 중요하다 생각합니다."
23,24,1,1,30,INFP,24,<아니다> 전 휴식을 먼저 취합니다. 이미 에너지가 바닥난 상태이기 때문에 집안일을 하기 위한 에너지를 보충하는 시간이 필요합니다.
24,25,1,1,30,INFP,25,<그렇다> 다른 관점에서 다양한 시각으로 생각할 수 있어서 즐겁습니다. 다만 극에 달한 사고방식으로 자기주장만 하는 것은 좋아하지 않습니다.
25,26,1,1,30,INFP,26,<그렇다> 내면에는 주의를 끌고 싶은 마음이 있지만 저 자신의 에너지가 적어 다른 사람과 관계 맺는 것이 피곤하기 때문에 주의를 끌지 않으려고 합니다.
26,27,1,1,30,INFP,27,<그렇다> 감정이 극과 극으로 빠르게 변할 수 있습니다. 맛있는 것을 먹고 굉장히 기분이 좋다가도 기분 좋지 않은 소리를 들었을 때 바닥으로 내려갑니다.
