,User_ID,Gender,Age,MBTI,Q_number,Answer
13187,363,0,40,INTJ,48,아니다. 안 합니다. 명백한데 왜 살려 줘야 하는 거죠? 오히려 살려주면 더 욕먹습니다.
10732,224,1,20,ENTP,29,그렇다. 모든 일을 발등에 불이 떨어졌을 때 처리해요. 성격상 미리미리 하지 못하기도 하고 그렇게 처리한 일의 결과가 좋았기도 해서 최근까지도 최대한 미루고 나중에 집중력 있게 일을 처리해요.
1104,24,0,40,ENFP,1,아니다. 저는 학교 다니는 학생이 아니어서 기회가 거의 없어 불가능합니다. 이유는 직장 동료들 외 새로운 친구를 만들 기회가 없고 가족에 충실하다 보니 밖에서 사교모임 정도는 안 하고 있어서 새로운 친구를 만들 시간이 없는 게 이유인 것 같습니다.
12071,327,0,40,INTP,12,"중립/모르겠다. 저는 상황에 따라 다른 거 같습니다. 동행인이 있다면 함께 얘기하면서 보는 것을 즐기고, 혼자라면 도슨트의 도움을 받기 때문입니다."
2610,55,0,40,ISFJ,19,"아니다. 좋아하는 관심사가 어느 정도 살아오면서 정해진 것들이 있다 보니 새로운 것이 많지 않아 뭘 해야 할지 모르는 경우는 거의 없다. 관심사는 영화, 스포츠, 일반 시사 등이 있는데 그렇게 시간 대비가 필요한 것들이 아니라 혼돈이 오는 경우는 거의 없다."
9948,208,0,40,INFJ,13,"그렇다. 저는 감정보다는 이성을 따르는 편입니다. 이유는 세상의 사람에 대해서든 사물에 대해서는 또는, 어떤 학문에 대해서든 어느 정도의 거리를 두고 인지하고 판단하며 대하는 것이 좋다고 생각하기 때문입니다."
5310,111,0,40,ENFJ,31,"그렇다. 혼자 있는 걸 싫어하지는 않지만, 다른 사람과의 유대 관계를 중요하게 생각하기에 요즘에는 다른 사람과 시간 보내는 걸 좋아합니다."
14150,392,0,30,ENFP,51,그렇다. 저는 대부분의 시간을 혼자서 일할 수 있는 직업을 선호합니다. 그 이유는 혼자서 일을 할 때 스트레스도 덜 받고 효율적으로 일할 수 있기 때문입니다.
16241,438,1,20,ENTJ,42,중립/모르겠다. 저는 중립입니다. 이유는 시간을 할애하긴 하지만 큰 시간을 투자하진 않기 때문입니다. 최근에는 친구와 의견이 달랐는데 설득을 하다 포기했습니다.
11112,232,1,30,ESTJ,25,그렇다. 저는 다른 사람의 논쟁을 바라보는 일을 즐깁니다. 이유는 내가 예상하지 못한 대사가 나오면 통쾌하더라고요.
11160,233,1,40,ENFP,25,아니다. 저는 다른 사람들의 논쟁이 불편해요. 나와 공감하면서 비슷한 감정을 공유하는 일은 너무나 즐겁지만 상대방의 반대 의견에는 쉽게 상처를 잘 받아서 논쟁보다는 공감하는 사람들이 많은 곳에서 이야기하는 걸 좋아해요.
5755,120,1,20,ESTP,44,아니다. 저는 굳이 온 계획으로 돌아갈 생각은 하지 않습니다. 계획이 틀어지면 틀어진 대로 '오히려 좋아'라는 마인드로 즐깁니다. 최근 여행지에서 택시 기사와의 의사소통 문제로 계획했던 음식점을 가지 못하고 다른 음식점으로 안내된 적이 있습니다. 저는 '로컬 사람 택시 기사가 안내해 준 곳이니 이곳이 더 찐 맛집이겠구나'라는 생각으로 즐겼습니다.
152,4,1,40,INFJ,9,그렇다. 저는 냉장고에 뭐가 들었는지도 일일이 기록하고 식단을 짜는 것도 휴대폰 메모 앱을 이용하여 기록합니다. 모든 일정도 전자 도구에 메모합니다.
13427,375,0,40,ESTP,48,그렇다. 상대방이 잘못이라도 일부러 한 일이 아닐 수도 있고 본인의 잘못이라는 게 너무 민망할까 봐 체면을 살려줍니다.
6580,138,0,40,ISFP,5,그렇다. 대체로 평정심을 유지하는 편입니다. 최근 새로운 강의를 처음 하는 날이었는데 평정심을 유지하려고 마음을 다스렸습니다.
5680,119,1,30,INFP,17,아니다. 결말이 명확한 영화나 책을 더 좋아합니다. 뚜렷한 결말이 아니면 해석이 다양해서 답답합니다.
